a,a,,
abaci,abeusie,,
aback,abak,,
abacus,abeukeus,,
abaft,abaft,abaaft,
abandon,abandn,,
abandoned,abandnd,,
abandonment,abandnmnt,,
abase,abaes,,
abasement,abaesmnt,,
abash,abash,,
abashed,abasht,,
abate,abaet,,
abatement,abaetmnt,,
abattoir,abeutwaar,,
abbess,abeus,abes,
abbey,aby,,
abbot,abeut,,
abbreviate,abreeviaet,,
abbreviation,abreeviaeshn,,
abdicate,abdeukaet,abdikaet,
abdication,abdeukaeshn,abdikaeshn,
abdomen,abd'mn,,
abdominal,abdom'nl,abdominl,
abduct,abdukt,,
abduction,abdukshn,,
abeam,abeem,,
abed,abed,,
aberrant,aber'nt,,
aberration,ab'raeshn,,
abet,abet,,
abeyance,abaeuns,,
abhor,abhaur,,
abhorrence,abhaur'ns,abhor'ns,
abhorrent,abhaur'nt,abhor'nt,
abide,abied,,
abiding,abieding,,
ability,ability,,
abject,abjekt,,
abjectly,abjektly,,
abjure,abjoor,,
ablaze,ablaez,,
able,aebl,,
able-bodied,aebl-bodyd,,
ably,aebly,,
abnegation,abneugaeshn,abnigaeshn,
abnormal,abnaurml,,
abnormality,abnaurmality,,
abnormally,abnaurm'ly,,
aboard,abaurd,,
abode,aboed,,
abolish,abolish,,
abolition,ab'lishn,,
abolitionist,ab'lish'nist,,
abominable,abom'neubl,abomineubl,
abominably,abom'neubly,abomineubly,
abominate,abom'naet,abominaet,
abomination,abom'naeshn,abominaeshn,
aboriginal,ab'rij'nl,ab'rijinl,
aborigine,ab'rij'ny,ab'rijiny,
abort,abaurt,,
abortion,abaurshn,,
abortionist,abaursh'nist,,
abortive,abaurtiv,,
abound,abound,,
about,about,,
about-face,about-faes,,
above,abuv,,
abracadabra,abreukeudabra,,
abrade,abraed,,
Abraham,Aebreuham,,
abrasion,abraezhn,,
abrasive,abraesiv,,
abreast,abrest,,
abridge,abrij,,
abridgment,abrijmnt,,
abroad,abraud,,
abrogate,abreugaet,,
abrogation,abreugaeshn,,
abrupt,abrupt,,
abruptly,abruptly,,
abruptness,abruptnes,,
abscess,abses,,
abscond,abskond,,
absence,absns,,
absent,absnt,,adj
absent,absent,,v
absentee,absntee,,
absenteeism,absnteeizm,,
absently,absntly,,
absent-minded,absnt-miendid,,
absent-mindedly,absnt-miendidly,,
absent-mindedness,absnt-miendidnes,,
absinthe,absinth,,
absolute,abs'loot,,
absolutely,abs'lootly,,
absolution,abs'looshn,,
absolutism,abs'lootizm,,
absolve,abzolv,,
absorb,absaurb,abzaurb,
absorbed,absaurbd,abzaurbd,
absorbent,absaurbnt,abzaurbnt,
absorbing,absaurbing,abzaurbing,
absorption,absaurpshn,abzaurpshn,
abstain,abstaen,,
abstainer,abstaenr,,
abstemious,absteemius,,
abstention,abstenshn,,
abstinence,abstn'ns,abstin'ns,
abstract,abstrakt,,adj
abstract,abstrakt,,n
abstract,abstrakt,,v
abstracted,abstraktid,,
abstraction,abstrakshn,,
abstruse,abstroos,,
abstrusely,abstroosly,,
abstruseness,abstroosnes,,
absurd,abseurd,,
absurdity,abseurdity,,
absurdly,abseurdly,,
abundance,abundns,,
abundant,abundnt,,
abundantly,abundntly,,
abuse,abues,,n
abuse,abuez,,v
abusive,abuesiv,,
abusively,abuesivly,,
abut,abut,,
abutment,abutmnt,,
abysmal,abizml,,
abysmally,abizm'ly,,
abyss,abis,,
acacia,akaesha,,
academic,akeudemik,,
academically,akeudemikly,,
academician,akeud'mishn,akad'mishn,
academy,akad'my,,
accede,axeed,,
accelerate,axel'raet,,
acceleration,axel'raeshn,,
accelerator,axel'raetr,,
accent,axent,axnt,n
accent,axent,,v
accented,axentid,,
accentuate,axenchooaet,,
accentuation,axenchooaeshn,,
accept,axept,,
acceptability,axepteubility,,
acceptable,axepteubl,,
acceptably,axepteubly,,
acceptance,axeptns,,
accepted,axeptid,,
access,axes,,
accessibility,axeseubility,,
accessible,axeseubl,,
accession,axeshn,,
accessory,axes'ry,,
accident,axeudnt,axidnt,
accidental,axeudentl,axidentl,
accidentally,axeudent'ly,axident'ly,
accident-prone,axeudnt-proen,axidnt-proen,
acclaim,aklaem,,
acclaimed,aklaemd,,
acclamation,akl'maeshn,,
acclimate,akl'maet,aklimaet,
acclimation,akl'maeshn,aklimaeshn,
acclimatisation,akliemeuteuzaeshn,akliemeutiezaeshn,
acclimatise,akliemeutiez,,
acclimatization,akliemeuteuzaeshn,akliemeutiezaeshn,
acclimatize,akliemeutiez,,
accolade,ak'laed,,
accommodate,akomeudaet,,
accommodating,akomeudaeting,,
accommodation,akomeudaeshn,,
accommodations,akomeudaeshnz,,
accompaniment,akump'nymnt,,
accompanist,akump'nist,,
accompany,akump'ny,,
accomplice,akompleus,akumplis;akomplis,
accomplish,akomplish,akumplish,
accomplished,akomplisht,akumplisht,
accomplishment,akomplishmnt,akumplishmnt,
accord,akaurd,,
accordance,akaurdns,,
accordingly,akaurdingly,,
accordion,akaurdiun,,
accost,akaust,akost,
account,akount,,
accountable,akounteubl,,
accountant,akountnt,,
accounting,akounting,,
accouterments,akootrmnts,,
accoutrements,akootrmnts,,
accredit,akredeut,akredit,
accredited,akredeutid,akreditid,
accrue,akroo,,
accumulate,akuemy'laet,akuemuelaet,
accumulation,akuemy'laeshn,akuemuelaeshn,
accumulative,akuemy'laetiv,akuemueleutiv;akuemuelaetiv,
accuracy,aky'reusy,,
accurate,aky'reut,,
accurately,aky'reutly,,
accursed,akeurst,akeursid,
accusation,akuezaeshn,,
accusative,akuezeutiv,,
accuse,akuez,,
accused,akuezd,,
accuser,akuezr,,
accusing,akuezing,,
accusingly,akuezingly,,
accustom,akustm,,
accustomed,akustmd,,
ace,aes,,
acerbity,aseurbity,,
acetate,aseutaet,asitaet,
acetylene,aset'leen,asetileen,
ache,aek,,
achievable,acheeveubl,,
achieve,acheev,,
achievement,acheevmnt,,
acid,aseud,asid,
acidic,asidik,,
acidify,asideufie,asidifie,
acidity,asidity,,
acknowledge,aknolij,,
acknowledged,aknolijd,,
acme,akmy,,
acne,akny,,
acolyte,ak'liet,,
acorn,aekaurn,,
acoustic,akoostik,,
acoustics,akoostiks,,
acquaint,aqaent,,
acquaintance,aqaentns,,
acquainted,aqaentid,,
acquiesce,aqiyes,,
acquiescence,aqiyesns,,
acquiescent,aqiyesnt,,
acquire,aqier,,
acquirement,aqiermnt,,
acquisition,aqeuzishn,aqizishn,
acquisitive,aqizeutiv,aqizitiv,
acquit,aqit,,
acquittal,aqitl,,
acre,aekr,,
acreage,aek'rij,,
acrid,akreud,akrid,
acrimonious,akr'moenius,akrimoenius,
acrimony,akr'moeny,akrim'ny;akrimoeny,
acrobat,akreubat,,
acrobatic,akreubatik,,
acrobatics,akreubatiks,,
acronym,akr'nim,,
acropolis,akrop'leus,akrop'lis,
across,akraus,akros,
acrylic,akrilik,,
act,akt,,
acting,akting,,
action,akshn,,
activate,akteuvaet,aktivaet,
activation,akteuvaeshn,aktivaeshn,
active,aktiv,,
actively,aktivly,,
activist,akteuvist,aktivist,
activity,aktivity,,
actor,aktr,,
actress,aktreus,aktris,
actual,akchooul,,
actuality,akchooality,,
actually,akchoouly,,
actuarial,akchooeriul,akchooairiul,
actuary,akchooery,akchooury,
actuate,akchooaet,,
acuity,akueity,,
acumen,akuemn,,
acupuncture,akyeupunkchr,akuepunkchr,
acute,akuet,,
acutely,akuetly,,
acuteness,akuetnes,,
ad,ad,,
adage,adij,,
adagio,adaajoe,adaajioe,
Adam,Adm,,
adamant,ad'mnt,,
adapt,adapt,,
adaptability,adapteubility,,
adaptable,adapteubl,,
adaptation,adaptaeshn,,
adapter,adaptr,,
adaptor,adaptr,,
add,ad,,
addenda,adenda,,
addendum,adendm,,
adder,adr,,
addict,adikt,,n
addict,adikt,,v
addicted,adiktid,,
addiction,adikshn,,
addictive,adiktiv,,
addition,adishn,,
additional,adish'nl,,
additionally,adishn'ly,,
additive,adeutiv,aditiv,
addle,adl,,
address,adres,,
addressee,adresee,,
adduce,adoos,adues,
adenoidal,ad'noidl,adinoidl,
adenoids,ad'noidz,adinoidz,
adept,adept,,adj
adept,adept,,n
adequacy,adeuqeusy,adiqeusy,
adequate,adeuqeut,adiqeut,
adequately,adeuqeutly,adiqeutly,
adhere,adhir,adheer,
adherence,adhir'ns,adheer'ns,
adherent,adhir'nt,adheer'nt,
adhesion,adheezhn,,
adhesive,adheesiv,,
adieu,adoo,adue,
adipose,adeupoes,adipoes,
adjacent,ajaesnt,,
adjectival,ajiktievl,,
adjective,ajiktiv,,
adjoin,ajoin,,
adjoining,ajoining,,
adjourn,ajeurn,,
adjournment,ajeurnmnt,,
adjudge,ajuj,,
adjudicate,ajoodikaet,,
adjudication,ajoodikaeshn,,
adjudicator,ajoodikaetr,,
adjunct,ajunkt,,
adjure,ajoor,,
adjust,ajust,,
adjustable,ajusteubl,,
adjuster,ajustr,,
adjustment,ajustmnt,,
adjutant,ajeutnt,ajootnt,
ad-lib,ad-lib,,
adman,adman,,
admen,admen,,
administer,admineustr,administr,
administration,admineustraeshn,administraeshn,
administrative,admineustraetiv,administreutiv;administraetiv,
administrator,admineustraetr,administraetr,
admirable,adm'reubl,,
admirably,adm'reubly,,
admiral,admr'l,,
admiralty,admr'lty,,
admiration,adm'raeshn,,
admire,admier,,
admirer,admier'r,,
admiring,admiering,,
admiringly,admieringly,,
admissibility,admiseubility,,
admissible,admiseubl,,
admission,admishn,,
admit,admit,,
admittance,admitns,,
admittedly,admitidly,,
admixture,admixchr,,
admonish,admonish,,
admonition,adm'nishn,,
admonitory,admoneutaury,admonit'ry;admonitaury,
ado,adoo,,
adobe,adoeby,,
adolescence,ad'lesns,,
adolescent,ad'lesnt,,
adopt,adopt,,
adopted,adoptid,,
adoption,adopshn,,
adoptive,adoptiv,,
adorable,adaureubl,,
adorably,adaureubly,,
adoration,ad'raeshn,,
adore,adaur,,
adorn,adaurn,,
adornment,adaurnmnt,,
adrenal,adreenl,,
adrenalin,adrenl'n,adren'lin,
adrenaline,adrenl'n,adren'lin,
adrift,adrift,,
adroit,adroit,,
adroitly,adroitly,,
adroitness,adroitnes,,
adulation,aj'laeshn,aduelaeshn;ajoolaeshn,
adult,adult,,
adulterant,adultr'nt,,
adulterate,adult'raet,,
adulteration,adult'raeshn,,
adulterer,adultr'r,,
adulteress,adult'reus,adult'ris,
adulterous,adult'reus,,
adultery,adult'ry,,
adulthood,adulthuud,,
advance,advans,advaans,
advanced,advanst,advaanst,
advancement,advansmnt,advaansmnt,
advances,advansiz,advaansiz,
advantage,advantij,advaantij,
advantageous,advantaejs,advntaejs,
advantageously,advantaejsly,advntaejsly,
advent,advent,advnt,
adventure,advenchr,,
adventurer,advenchr'r,,
adventuresome,advenchrsm,,
adventuress,advench'reus,advench'ris,
adventurous,advench'reus,,
adverb,adveurb,,
adverbial,adveurbiul,,
adversary,advrsery,advrs'ry,
adverse,adveurs,,
adversely,adveursly,,
adversity,adveursity,,
advert,adveurt,,n
advert,adveurt,,v
advertise,advrtiez,,
advertisement,advrtiezmnt,adveurtismnt;adveurtiesmnt,
advertiser,advrtiezr,,
advertising,advrtiezing,,
advice,advies,,
advisability,adviezeubility,,
advisable,adviezeubl,,
advise,adviez,,
advisedly,adviezidly,,
adviser,adviezr,,
advisory,adviez'ry,,
advocacy,adveukeusy,,
advocate,adveukeut,,n
advocate,adveukaet,,v
adz,adz,,
adze,adz,,
aegis,eejs,eejis,
aeon,eeun,,
aerate,eraet,airaet,
aeration,eraeshn,airaeshn,
aerial,eriul,airiul,
aerie,ery,eery,
aerobatics,ereubatiks,aireubatiks,
